job_id,budget,task_id,method,seed,candidate_attempt,SUN
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,11,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,12,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,13,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,14,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,15,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,16,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,17,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,18,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,19,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,20,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,21,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,22,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,23,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,24,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,25,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,26,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,27,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,28,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,29,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,30,0
budget-final-made-bddfff2e8be0e2e021389547,30,Cd-Li-Nd-Ti-W,baseline,1,0,0
budget-final-made-bddfff2e8be0e2e021389547,30,Cd-Li-Nd-Ti-W,baseline,1,1,1
budget-final-made-bddfff2e8be0e2e021389547,30,Cd-Li-Nd-Ti-W,baseline,1,2,1
budget-final-made-bddfff2e8be0e2e021389547,30,Cd-Li-Nd-Ti-W,baseline,1,3,2
budget-final-made-bddfff2e8be0e2e021389547,30,Cd-Li-Nd-Ti-W,baseline,1,4,2
budget-final-made-bddfff2e8be0e2e021389547,30,Cd-Li-Nd-Ti-W,baseline,1,5,2
budget-final-made-bddfff2e8be0e2e021389547,30,Cd-Li-Nd-Ti-W,baseline,1,6,2
budget-final-made-bddfff2e8be0e2e021389547,30,Cd-Li-Nd-Ti-W,baseline,1,7,2
budget-final-made-bddfff2e8be0e2e021389547,30,Cd-Li-Nd-Ti-W,baseline,1,8,2
budget-final-made-bddfff2e8be0e2e021389547,30,Cd-Li-Nd-Ti-W,baseline,1,9,2
budget-final-made-bddfff2e8be0e2e021389547,30,Cd-Li-Nd-Ti-W,baseline,1,10,2
