feature,family,cohort,n,train_mean,train_std,normalizer_std,std_floor_applied,mean,standardized_mean,max_abs_z,outside_train_range,abs_z_above3,abs_z_above5
hidden.layer_29.output_rms,hidden,first_scored,219,0.24338285942872365,0.005324461963474705,0.005324461963474705,False,0.24457076940362313,0.2231042278165231,2.608860074903603,5,0,0
hidden.layer_3.input_mean,hidden,dev,50,-9.202902115248434e-05,0.00029718085154797983,0.00029718085154797983,False,-0.0001664121799331042,-0.2502959339175683,2.5311813304681228,4,0,0
hidden.layer_3.input_mean,hidden,train,75,-9.202902115248434e-05,0.00029718085154797983,0.00029718085154797983,False,-9.202902115248434e-05,1.3739009929736312e-17,2.2566040570050605,0,0,0
hidden.layer_3.input_mean,hidden,all_scored_candidates,239,-9.202902115248434e-05,0.00029718085154797983,0.00029718085154797983,False,0.0001481926238495634,0.8083348699983921,2.6939047500651325,8,0,0
hidden.layer_3.input_mean,hidden,selected,224,-9.202902115248434e-05,0.00029718085154797983,0.00029718085154797983,False,0.00013979874640110808,0.7800898555409242,2.6939047500651325,5,0,0
hidden.layer_3.input_mean,hidden,first_scored,219,-9.202902115248434e-05,0.00029718085154797983,0.00029718085154797983,False,0.00014297228689675012,0.7907686744456801,2.459135111363095,6,0,0
hidden.layer_3.input_rms,hidden,dev,50,0.4905005184809367,0.007529978160663248,0.007529978160663248,False,0.4901051014661789,-0.05251237205752442,2.5347573776965304,1,0,0
hidden.layer_3.input_rms,hidden,train,75,0.4905005184809367,0.007529978160663248,0.007529978160663248,False,0.4905005184809367,1.3774166992182775e-15,2.524973638704133,0,0,0
hidden.layer_3.input_rms,hidden,all_scored_candidates,239,0.4905005184809367,0.007529978160663248,0.007529978160663248,False,0.4835257129938533,-0.9262716754638058,3.1468545273200093,22,5,0
hidden.layer_3.input_rms,hidden,selected,224,0.4905005184809367,0.007529978160663248,0.007529978160663248,False,0.48409176404987064,-0.8510986744351406,3.0731756903125365,15,3,0
hidden.layer_3.input_rms,hidden,first_scored,219,0.4905005184809367,0.007529978160663248,0.007529978160663248,False,0.4841771089050868,-0.8397646634466367,3.1468545273200093,13,3,0
hidden.layer_3.output_mean,hidden,dev,50,-0.00015114718708597746,2.287797415157223e-05,2.287797415157223e-05,False,-0.00015560430532786994,-0.19482136890106558,2.7260202716064486,2,0,0
hidden.layer_3.output_mean,hidden,train,75,-0.00015114718708597746,2.287797415157223e-05,2.287797415157223e-05,False,-0.00015114718708597746,4.66325473606292e-16,2.94436985004435,0,0,0
hidden.layer_3.output_mean,hidden,all_scored_candidates,239,-0.00015114718708597746,2.287797415157223e-05,2.287797415157223e-05,False,-0.00012837562068422991,0.9953488998143057,2.9106570481229923,0,0,0
