job_id,arm,task_id,seed,budget,candidate_attempt,official_SUN
support-final-38ae55456a55c01858bdaca6,uq_only_support_aware,Au-K-Tb,2,10,4,0
support-final-38ae55456a55c01858bdaca6,uq_only_support_aware,Au-K-Tb,2,10,5,1
support-final-38ae55456a55c01858bdaca6,uq_only_support_aware,Au-K-Tb,2,10,6,2
support-final-38ae55456a55c01858bdaca6,uq_only_support_aware,Au-K-Tb,2,10,7,2
support-final-38ae55456a55c01858bdaca6,uq_only_support_aware,Au-K-Tb,2,10,8,3
support-final-38ae55456a55c01858bdaca6,uq_only_support_aware,Au-K-Tb,2,10,9,3
support-final-38ae55456a55c01858bdaca6,uq_only_support_aware,Au-K-Tb,2,10,10,3
support-final-2b6cfd7c97c158c305971c45,uq_only_support_aware,Au-K-Tb,3,10,0,0
support-final-2b6cfd7c97c158c305971c45,uq_only_support_aware,Au-K-Tb,3,10,1,1
support-final-2b6cfd7c97c158c305971c45,uq_only_support_aware,Au-K-Tb,3,10,2,2
support-final-2b6cfd7c97c158c305971c45,uq_only_support_aware,Au-K-Tb,3,10,3,2
support-final-2b6cfd7c97c158c305971c45,uq_only_support_aware,Au-K-Tb,3,10,4,2
support-final-2b6cfd7c97c158c305971c45,uq_only_support_aware,Au-K-Tb,3,10,5,2
support-final-2b6cfd7c97c158c305971c45,uq_only_support_aware,Au-K-Tb,3,10,6,2
support-final-2b6cfd7c97c158c305971c45,uq_only_support_aware,Au-K-Tb,3,10,7,2
support-final-2b6cfd7c97c158c305971c45,uq_only_support_aware,Au-K-Tb,3,10,8,2
support-final-2b6cfd7c97c158c305971c45,uq_only_support_aware,Au-K-Tb,3,10,9,2
support-final-2b6cfd7c97c158c305971c45,uq_only_support_aware,Au-K-Tb,3,10,10,3
support-final-5eccea7f5a24da2f5b31b4ab,uq_only_support_aware,Co-Dy-W,2,10,0,0
support-final-5eccea7f5a24da2f5b31b4ab,uq_only_support_aware,Co-Dy-W,2,10,1,0
