population,feature,family,finite_n,missing_rate,train_min,train_p25,train_p50,train_p75,train_max,target_min,target_p25,target_p50,target_p75,target_max,median_shift_in_training_IQR,outside_training_range_n,outside_training_range_rate_among_finite,constant_training_feature
full_all_candidates,graph.layer_16_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_16_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_16_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_17_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_17_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_17_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_18_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_18_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_18_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_19_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_19_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_19_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_1_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_1_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_1_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_20_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_20_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_20_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_21_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_21_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_21_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_22_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,6.589533805847168,0.0,0.0,0.0,0.0,6.589523792266846,,0,0.0,False
full_all_candidates,graph.layer_22_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0,0.0,False
full_all_candidates,graph.layer_22_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.2,,2,0.008368200836820083,False
full_all_candidates,graph.layer_23_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_23_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_23_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_24_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_24_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_24_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_25_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_25_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_25_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_26_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,7.644421100616455,0.0,0.0,0.0,0.0,7.644414901733398,,0,0.0,False
full_all_candidates,graph.layer_26_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,28,0.11715481171548117,False
