task_id,budget,arm,metric,observed_seeds,missing_seeds,planned_seeds,coverage,n,mean,sample_variance_ddof1,SD
Ca-Pd-Sn-W,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ca-Pd-Sn-W,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ce-Er-Pb-Rh,10,baseline_reference,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,2.0,2.0,1.4142135623730951
Ce-Er-Pb-Rh,10,baseline_reference,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.2,0.019999999999999997,0.1414213562373095
Ce-Er-Pb-Rh,10,baseline_reference,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.24,0.0049999999999999975,0.07071067811865474
Ce-Er-Pb-Rh,10,uq_only_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,1.0,,
Ce-Er-Pb-Rh,10,uq_only_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.1,,
Ce-Er-Pb-Rh,10,uq_only_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.19,,
Ce-Er-Pb-Rh,10,es_only_independent,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,1.0,0.0,0.0
Ce-Er-Pb-Rh,10,es_only_independent,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.1,0.0,0.0
Ce-Er-Pb-Rh,10,es_only_independent,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.19,0.0,0.0
Ce-Er-Pb-Rh,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,3.0,,
Ce-Er-Pb-Rh,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.3,,
Ce-Er-Pb-Rh,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.21,,
Ce-Ir-Pt-Sn,10,baseline_reference,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,1.0,0.0,0.0
Ce-Ir-Pt-Sn,10,baseline_reference,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.1,0.0,0.0
Ce-Ir-Pt-Sn,10,baseline_reference,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.09,0.0007999999999999997,0.028284271247461894
Ce-Ir-Pt-Sn,10,uq_only_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,4.0,,
